uid,date,not_a_news,html_content_extracted,html_all_news_located,n_topics,status,comment
498,2024-12-04 18:57:26+00:00,True,False,False,0,not handled,
499,2024-12-04 19:27:37+00:00,False,True,True,6,ok,
500,2024-12-05 16:55:28+00:00,False,True,True,6,ok,
501,2024-12-06 15:17:22+00:00,False,True,True,5,ok,
507,2024-12-10 18:22:58+00:00,False,True,True,6,ok,
509,2024-12-11 15:13:49+00:00,False,True,True,6,ok,
510,2024-12-12 15:14:31+00:00,False,True,True,5,ok,
511,2024-12-14 19:04:05+00:00,False,True,True,0,not handled,
517,2024-12-17 16:46:59+00:00,False,True,True,5,ok,
519,2024-12-19 15:14:14+00:00,False,True,True,5,ok,
522,2024-12-23 16:31:27+00:00,False,True,True,5,ok,
525,2024-12-27 15:48:28+00:00,False,True,True,4,ok,
530,2025-01-06 18:24:53+00:00,False,True,True,5,ok,
532,2025-01-07 17:42:42+00:00,False,True,True,5,ok,
534,2025-01-08 18:36:20+00:00,False,True,True,6,ok,
537,2025-01-13 21:54:14+00:00,False,True,True,4,ok,
543,2025-01-15 18:32:41+00:00,False,True,True,6,ok,
547,2025-01-16 17:52:05+00:00,False,True,True,6,ok,
559,2025-01-20 19:42:01+00:00,False,True,True,5,ok,
564,2025-01-21 19:41:28+00:00,False,True,True,5,ok,
565,2025-01-22 19:00:47+00:00,False,True,True,6,ok,
567,2025-01-24 15:21:15+00:00,False,True,True,5,ok,
569,2025-01-27 15:14:41+00:00,False,True,True,5,ok,
572,2025-01-29 16:29:51+00:00,False,True,True,6,ok,
573,2025-01-30 16:43:58+00:00,False,True,True,5,ok,
574,2025-01-31 15:24:14+00:00,False,True,True,5,ok,
576,2025-02-03 18:08:26+00:00,False,True,True,4,ok,
581,2025-02-06 15:15:19+00:00,False,True,True,4,ok,
584,2025-02-07 19:31:29+00:00,False,True,True,4,ok,
587,2025-02-10 16:38:08+00:00,False,True,True,5,ok,
606,2025-02-13 17:10:49+00:00,False,True,True,5,ok,
608,2025-02-14 16:38:18+00:00,False,True,True,4,ok,
616,2025-02-20 17:46:22+00:00,False,True,True,4,ok,
623,2025-02-24 18:07:45+00:00,False,True,True,5,ok,
625,2025-02-25 15:41:46+00:00,False,True,True,6,ok,
628,2025-02-26 17:23:23+00:00,False,True,True,6,ok,
629,2025-02-27 15:45:37+00:00,False,True,True,5,ok,
632,2025-02-28 16:43:16+00:00,False,True,True,5,ok,
634,2025-03-03 17:13:54+00:00,False,True,True,5,ok,
638,2025-03-04 16:31:08+00:00,False,True,True,5,ok,
643,2025-03-06 15:22:42+00:00,False,True,True,5,ok,
644,2025-03-07 19:01:19+00:00,False,True,True,0,not handled,
647,2025-03-11 15:44:22+00:00,False,True,True,5,ok,
653,2025-03-12 15:14:14+00:00,False,True,True,5,ok,
656,2025-03-13 15:08:43+00:00,False,True,True,4,ok,
669,2025-03-17 17:02:06+00:00,False,True,True,6,ok,
672,2025-03-18 17:14:35+00:00,False,True,True,6,ok,
676,2025-03-19 16:20:09+00:00,False,True,True,6,ok,
679,2025-03-20 16:40:37+00:00,False,True,True,5,ok,
687,2025-03-24 17:45:16+00:00,False,True,True,5,ok,
688,2025-03-25 16:28:38+00:00,False,True,True,5,ok,
689,2025-03-26 14:58:40+00:00,False,True,True,5,ok,
690,2025-03-27 17:04:37+00:00,False,True,True,5,ok,
692,2025-03-28 16:58:15+00:00,False,True,True,5,ok,
693,2025-04-01 15:22:18+00:00,False,True,True,5,ok,
694,2025-04-02 15:15:19+00:00,False,True,True,5,ok,
696,2025-04-03 15:18:17+00:00,False,True,True,5,ok,
707,2025-04-08 15:16:02+00:00,False,True,True,6,ok,
723,2025-04-10 16:43:44+00:00,False,True,True,4,ok,
726,2025-04-11 17:09:16+00:00,False,True,True,5,ok,
730,2025-04-14 15:15:27+00:00,False,True,True,5,ok,
735,2025-04-16 15:38:08+00:00,False,True,True,5,ok,
740,2025-04-18 14:53:00+00:00,False,True,True,4,ok,
746,2025-04-21 17:38:11+00:00,False,True,True,6,ok,
747,2025-04-22 15:32:19+00:00,False,True,True,5,ok,
756,2025-04-23 19:39:10+00:00,False,True,True,5,ok,
758,2025-04-25 15:15:47+00:00,False,True,True,4,ok,
