uid,topic_id,n_news,status,comment
499,1,1,ok,
499,2,1,ok,
499,3,5,ok,
499,4,1,ok,
499,5,1,ok,
499,6,1,ok,
500,1,1,ok,
500,2,1,ok,
500,3,5,ok,
500,4,1,ok,
500,5,3,ok,
500,6,1,ok,
501,1,1,ok,
501,2,1,ok,
501,3,5,ok,
501,4,3,ok,
501,5,1,ok,
507,1,1,ok,
507,2,1,ok,
507,3,5,ok,
507,4,1,ok,
507,5,3,ok,
507,6,1,ok,
509,1,1,ok,
509,2,1,ok,
509,3,5,ok,
509,4,1,ok,
509,5,3,ok,
509,6,1,ok,
510,1,1,ok,
510,2,1,ok,
510,3,5,ok,
510,4,3,ok,
510,5,1,ok,
517,1,1,ok,
517,2,1,ok,
517,3,5,ok,
517,4,3,ok,
517,5,1,ok,
519,1,1,ok,
519,2,1,ok,
519,3,5,ok,
519,4,3,ok,
519,5,1,ok,
522,1,1,ok,
522,2,1,ok,
522,3,5,ok,
522,4,3,ok,
522,5,1,ok,
525,1,1,ok,
525,2,5,ok,
525,3,3,ok,
525,4,1,ok,
530,1,1,ok,
530,2,1,ok,
530,3,5,ok,
530,4,3,ok,
530,5,1,ok,
532,1,1,ok,
532,2,1,ok,
532,3,5,ok,
532,4,3,ok,
532,5,1,ok,
534,1,1,ok,
534,2,1,ok,
534,3,5,ok,
534,4,1,ok,
534,5,3,ok,
534,6,1,ok,
537,1,1,ok,
537,2,5,ok,
537,3,1,ok,
537,4,3,ok,
543,1,2,ok,
543,2,1,ok,
543,3,7,ok,
543,4,1,ok,
543,5,3,ok,
543,6,1,ok,
547,1,2,ok,
547,2,1,ok,
547,3,9,ok,
547,4,1,ok,
547,5,5,ok,
547,6,1,ok,
559,1,2,ok,
559,2,1,ok,
559,3,9,ok,
559,4,5,ok,
559,5,1,ok,
564,1,2,ok,
564,2,1,ok,
564,3,9,ok,
564,4,5,ok,
564,5,1,ok,
565,1,2,ok,
565,2,1,ok,
565,3,13,ok,
565,4,1,ok,
565,5,5,ok,
565,6,1,ok,
567,1,2,ok,
567,2,13,ok,
567,3,1,ok,
567,4,5,ok,
567,5,1,ok,
569,1,1,ok,
569,2,1,ok,
569,3,13,ok,
569,4,5,ok,
569,5,1,ok,
572,1,2,ok,
572,2,1,ok,
572,3,13,ok,
572,4,1,ok,
572,5,5,ok,
572,6,1,ok,
573,1,1,ok,
573,2,1,ok,
573,3,13,ok,
573,4,5,ok,
573,5,1,ok,
574,1,1,ok,
574,2,1,ok,
574,3,13,ok,
574,4,5,ok,
574,5,1,ok,
576,1,1,ok,
576,2,6,ok,
576,3,4,ok,
576,4,1,ok,
581,1,1,ok,
581,2,6,ok,
581,3,3,ok,
581,4,1,ok,
584,1,1,ok,
584,2,5,ok,
584,3,3,ok,
584,4,1,ok,
587,1,1,ok,
587,2,5,ok,
587,3,1,ok,
587,4,3,ok,
587,5,1,ok,
606,1,1,ok,
606,2,1,ok,
606,3,5,ok,
606,4,3,ok,
606,5,1,ok,
608,1,1,ok,
608,2,6,ok,
608,3,4,ok,
608,4,1,ok,
616,1,1,ok,
616,2,5,ok,
616,3,4,ok,
616,4,1,ok,
623,1,1,ok,
623,2,1,ok,
623,3,5,ok,
623,4,4,ok,
623,5,1,ok,
625,1,1,ok,
625,2,1,ok,
625,3,5,ok,
625,4,1,ok,
625,5,4,ok,
625,6,1,ok,
628,1,1,ok,
628,2,1,ok,
628,3,5,ok,
628,4,1,ok,
628,5,4,ok,
628,6,1,ok,
629,1,1,ok,
629,2,5,ok,
629,3,1,ok,
629,4,4,ok,
629,5,1,ok,
632,1,1,ok,
632,2,1,ok,
632,3,5,ok,
632,4,4,ok,
632,5,1,ok,
634,1,1,ok,
634,2,5,ok,
634,3,1,ok,
634,4,4,ok,
634,5,1,ok,
638,1,1,ok,
638,2,5,ok,
638,3,1,ok,
638,4,4,ok,
638,5,1,ok,
643,1,1,ok,
643,2,1,ok,
643,3,5,ok,
643,4,4,ok,
643,5,1,ok,
647,1,1,ok,
647,2,1,ok,
647,3,5,ok,
647,4,4,ok,
647,5,1,ok,
653,1,1,ok,
653,2,1,ok,
653,3,5,ok,
653,4,4,ok,
653,5,1,ok,
656,1,1,ok,
656,2,5,ok,
656,3,4,ok,
656,4,1,ok,
669,1,1,ok,
669,2,1,ok,
669,3,5,ok,
669,4,1,ok,
669,5,4,ok,
669,6,1,ok,
672,1,1,ok,
672,2,1,ok,
672,3,5,ok,
672,4,1,ok,
672,5,4,ok,
672,6,1,ok,
676,1,1,ok,
676,2,1,ok,
676,3,5,ok,
676,4,1,ok,
676,5,4,ok,
676,6,1,ok,
679,1,1,ok,
679,2,1,ok,
679,3,5,ok,
679,4,4,ok,
679,5,1,ok,
687,1,1,ok,
687,2,5,ok,
687,3,1,ok,
687,4,4,ok,
687,5,1,ok,
688,1,1,ok,
688,2,1,ok,
688,3,5,ok,
688,4,4,ok,
688,5,1,ok,
689,1,1,ok,
689,2,1,ok,
689,3,5,ok,
689,4,4,ok,
689,5,1,ok,
690,1,1,ok,
690,2,5,ok,
690,3,1,ok,
690,4,4,ok,
690,5,1,ok,
692,1,1,ok,
692,2,1,ok,
692,3,5,ok,
692,4,4,ok,
692,5,1,ok,
693,1,1,ok,
693,2,1,ok,
693,3,5,ok,
693,4,4,ok,
693,5,1,ok,
694,1,1,ok,
694,2,1,ok,
694,3,5,ok,
694,4,4,ok,
694,5,1,ok,
696,1,1,ok,
696,2,5,ok,
696,3,1,ok,
696,4,4,ok,
696,5,1,ok,
707,1,1,ok,
707,2,1,ok,
707,3,5,ok,
707,4,1,ok,
707,5,4,ok,
707,6,1,ok,
723,1,1,ok,
723,2,5,ok,
723,3,4,ok,
723,4,1,ok,
726,1,1,ok,
726,2,1,ok,
726,3,5,ok,
726,4,4,ok,
726,5,1,ok,
730,1,1,ok,
730,2,1,ok,
730,3,5,ok,
730,4,4,ok,
730,5,1,ok,
735,1,1,ok,
735,2,1,ok,
735,3,5,ok,
735,4,4,ok,
735,5,1,ok,
740,1,1,ok,
740,2,5,ok,
740,3,4,ok,
740,4,1,ok,
746,1,1,ok,
746,2,1,ok,
746,3,5,ok,
746,4,1,ok,
746,5,4,ok,
746,6,1,ok,
747,1,1,ok,
747,2,1,ok,
747,3,5,ok,
747,4,4,ok,
747,5,1,ok,
756,1,1,ok,
756,2,5,ok,
756,3,1,ok,
756,4,4,ok,
756,5,1,ok,
758,1,1,ok,
758,2,5,ok,
758,3,4,ok,
758,4,1,ok,
